TRACTCE,SR,mpd,mntd,PSVs,PSEs,PSR,PD,faith.no.root$PD
'000101,77,371.103629,48.83176029,0.570840823,0.472467225,43.9547434,3887.766791,3887.766791
'000102,78,359.2335437,57.40356225,0.552581965,0.447190126,43.10139324,4131.620914,4131.620914
'000300,61,319.2983773,62.03603512,0.491152701,0.383071779,29.96031474,3581.804795,3581.804795
'000601,94,370.7448281,51.35688333,0.570288908,0.494402651,53.60715731,4450.052845,4450.052845
'000603,72,372.8275345,60.93223991,0.573492578,0.437820994,41.29146565,3891.94508,3891.94508
'001100,60,357.1089941,60.27558563,0.549313929,0.447439563,32.95883575,3514.00252,3514.00252
'001700,69,336.2376041,56.18339738,0.517209039,0.526356038,35.68742371,3835.793672,3835.793672
'002200,41,282.7045193,96.53351179,0.43486312,0.406035511,17.82938792,3199.474183,3199.474183
'002400,51,297.2780101,78.25498039,0.457280426,0.392605004,23.32130172,3455.909804,3455.909804
'002700,57,311.5940818,65.21715418,0.479301763,0.419509937,27.32020047,3423.675031,3423.675031
'003200,64,346.8605576,62.96610711,0.53354953,0.377313225,34.14716994,3598.109378,3598.109378
'003300,54,349.171457,68.87947991,0.537104212,0.415173524,29.00362747,3352.736637,3352.736637
'003801,43,306.3339877,67.63265909,0.471210555,0.378615538,20.26205385,2859.931049,2859.931049
'003802,36,355.8853411,69.25644006,0.547431674,0.435333468,19.70754028,2508.509942,2508.509942
'005901,45,381.628423,67.48777384,0.587030323,0.53070536,26.41636453,3066.175341,3066.175341
'005902,49,350.7337906,63.14384127,0.539507432,0.480387954,26.43586418,3091.860067,3091.860067
'006800,43,338.6514331,65.16838133,0.520922051,0.371306375,22.3996482,2852.953436,2852.953436
'007700,48,313.2049982,63.61869744,0.481779714,0.349928454,23.12542625,3040.888965,3040.888965
'007801,42,311.0658671,78.12616286,0.47848925,0.372919852,20.0965485,3025.948666,3025.948666
'008100,54,330.9703207,64.36672898,0.509106773,0.432590901,27.49176575,3391.36211,3391.36211
'008200,65,339.2469712,59.89588976,0.521838123,0.461737318,33.91947797,3687.724369,3687.724369
'008300,54,317.5651072,68.87518024,0.488486542,0.404232678,26.37827324,3408.740383,3408.740383
'008400,60,348.2823406,60.02096543,0.535736552,0.42774,32.14419312,3473.307896,3473.307896
'008500,82,351.726879,51.56653209,0.541035028,0.489908358,44.36487226,4084.458643,4084.458643
'009500,73,358.0166892,57.5253481,0.550710169,0.434124042,40.20184235,3875.900482,3875.900482
'009600,62,336.0492767,60.2936281,0.51691935,0.352732404,32.04899968,3632.172758,3632.172758
'010600,82,378.4345144,56.81537495,0.582117373,0.42706884,47.73362461,4316.435626,4316.435626
'010700,68,366.3479691,61.97980233,0.563525549,0.401430491,38.31973736,3810.810285,3810.810285
'011000,62,354.0094359,63.26672676,0.544546112,0.436964215,33.76185896,3589.605414,3589.605414
'011703,104,364.9459557,45.50265846,0.561368939,0.469319551,58.38236962,4605.513505,4605.513505
'011704,60,337.9629884,60.20369067,0.519863068,0.374178669,31.19178409,3409.161537,3409.161537
'011800,111,363.4138408,39.89811258,0.559012201,0.528659653,62.05035433,4711.471146,4711.471146
'011998,77,345.7581283,57.22389595,0.531853747,0.395879238,40.95273848,4042.706259,4042.706259
'012001,82,348.3297843,51.05855454,0.535809531,0.433124062,43.9363815,4151.118583,4151.118583
'012003,86,356.3164453,52.38563784,0.548094811,0.434113726,47.13615376,4367.832991,4367.832991
'012101,59,359.0366443,62.72033999,0.552279089,0.434885367,32.58446626,3480.012777,3480.012777
'012102,60,347.3920831,67.24779997,0.534367136,0.371906307,32.06202818,3550.42093,3550.42093
'020101,61,403.2129505,67.88685238,0.620232178,0.568661217,37.83416284,3627.325533,3627.325533
'020102,74,373.3288556,52.69701599,0.574263722,0.580953172,42.49551544,3890.131708,3890.131708
'020201,33,383.7939836,89.13383773,0.590361441,0.525117504,19.48192755,2636.759247,2636.759247
'020301,7,340.2172093,219.8701243,0.523330568,0.425225663,3.663313975,1102.490002,1102.490002
'020302,7,339.2275256,226.5961866,0.521808212,0.399386351,3.652657482,1107.390911,1107.390911
'020304,3,217.7593507,188.050284,0.334962855,0.23907556,1.004888564,527.954817,326.639026
'020400,19,273.205802,144.4264841,0.420251958,0.414431089,7.984787196,2036.398626,2036.398626
'020500,1,NA,NA,NA,NA,NA,325.049996,NA
'020600,5,214.2050834,145.415902,0.329495591,0.278534758,1.647477957,682.153742,480.837951
'020700,15,314.6617875,154.6983383,0.484020584,0.362396221,7.260308755,1697.194115,1697.194115
'020902,15,355.4131596,79.35110393,0.546705355,0.451601227,8.200580325,1439.988855,1439.988855
'020903,1,NA,NA,NA,NA,NA,325.050022,NA
'021001,1,NA,NA,NA,NA,NA,325.049996,NA
'021200,44,404.6687929,59.47339559,0.622471592,0.26855915,27.38875004,2816.614072,2816.614072
'021300,12,281.2748066,128.8217615,0.432663903,0.297162299,5.191966834,1323.380493,1323.380493
'021400,35,393.293019,72.41811329,0.604973094,0.631436878,21.17405828,2506.393427,2506.393427
'021501,7,206.4931952,50.103202,0.317632973,0.317833545,2.223430812,701.73123,500.415439
'021502,2,21.491522,21.491522,0.033058795,0.032650661,0.066117589,335.795756,21.491522
'021503,3,165.7711767,133.6188247,0.254993353,0.140480948,0.764980058,474.744997,248.656765
'021504,1,NA,NA,NA,NA,NA,325.049996,NA
'021505,2,225.402328,225.402328,0.346719475,0.221900464,0.69343895,437.75116,225.402328
'021601,52,363.2792363,55.67542662,0.558805149,0.521512382,29.05786777,3077.251268,3077.251268
'021602,63,364.6069515,46.79535867,0.560847475,0.467396921,35.33339092,3190.06186,3190.06186
'021700,73,359.5202649,51.81533466,0.553023006,0.473647098,40.37067945,3787.635521,3787.635521
'021800,82,375.6868201,47.10118067,0.577890802,0.556244668,47.38704579,3910.62372,3910.62372
